    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
   286        4.58597        98.0983        15.0326    3.37731e+06        28.2068     1.7786e+12
   287        4.58668        98.1683        15.0326    3.37731e+06        28.1962    1.75969e+12
   288         4.5874        98.2384        15.0326    3.37731e+06        28.1855    1.74096e+12
   289        4.58811        98.3084        15.0326    3.37731e+06        28.1748    1.72243e+12
   290        4.58882        98.3786        15.0326    3.37731e+06         28.164    1.70408e+12
   291        4.58954        98.4487        15.0326    3.37731e+06        28.1533    1.68591e+12
   292        4.59025         98.519        15.0326    3.37731e+06        28.1426    1.66793e+12
   293        4.59096        98.5892        15.0326    3.37731e+06        28.1319    1.65014e+12
   294        4.59168        98.6596        15.0326    3.37731e+06        28.1211    1.63252e+12
   295        4.59239          98.73        15.0326    3.37731e+06        28.1104    1.61508e+12
   296         4.5931        98.8004        15.0326    3.37731e+06        28.0997    1.59782e+12
   297        4.59381        98.8709        15.0326    3.37731e+06        28.0889    1.58074e+12
   298        4.59453        98.9414        15.0326    3.37731e+06        28.0782    1.56383e+12
   299        4.59524         99.012        15.0326    3.37731e+06        28.0674    1.54709e+12
   300        4.59595        99.0826        15.0326    3.37731e+06        28.0566    1.53052e+12
   301        4.59667        99.1533        15.0326    3.37731e+06        28.0459    1.51412e+12
   302        4.59738         99.224        15.0326    3.37731e+06        28.0351    1.49789e+12
   303        4.59809        99.2948        15.0326    3.37731e+06        28.0243    1.48182e+12
   304        4.59881        99.3656        15.0326    3.37731e+06        28.0135    1.46592e+12
   305        4.59952        99.4365        15.0326    3.37731e+06        28.0027    1.45018e+12
   306        4.60023        99.5074        15.0326    3.37731e+06        27.9919    1.43461e+12
   307        4.60095        99.5784        15.0326    3.37731e+06        27.9811    1.41919e+12
   308        4.60166        99.6495        15.0326    3.37731e+06        27.9703    1.40393e+12
   309        4.60237        99.7205        15.0326    3.37731e+06        27.9595    1.38883e+12
   310        4.60308        99.7917        15.0326    3.37731e+06        27.9487    1.37389e+12
   311         4.6038        99.8629        15.0326    3.37731e+06        27.9378     1.3591e+12
   312        4.60451        99.9341        15.0326    3.37731e+06         27.927    1.34446e+12
   313        4.60522        100.005        15.0326    3.37731e+06        27.9162    1.32997e+12
   314        4.60594        100.077        15.0326    3.37731e+06        27.9053    1.31563e+12
   315        4.60665        100.148        15.0326    3.37731e+06        27.8945    1.30144e+12
   316        4.60736         100.22        15.0326    3.37731e+06        27.8836     1.2874e+12
   317        4.60808        100.291        15.0326    3.37731e+06        27.8728     1.2735e+12
   318        4.60879        100.363        15.0326    3.37731e+06        27.8619    1.25975e+12
   319         4.6095        100.434        15.0326    3.37731e+06        27.8511    1.24614e+12
   320        4.61022        100.506        15.0326    3.37731e+06        27.8402    1.23267e+12
   321        4.61093        100.578        15.0326    3.37731e+06        27.8293    1.21934e+12
   322        4.61164        100.649        15.0326    3.37731e+06        27.8185    1.20615e+12
   323        4.61235        100.721        15.0326    3.37731e+06        27.8076     1.1931e+12
   324        4.61307        100.793        15.0326    3.37731e+06        27.7967    1.18018e+12
   325        4.61378        100.865        15.0326    3.37731e+06        27.7858     1.1674e+12
   326        4.61449        100.937        15.0326    3.37731e+06        27.7749    1.15475e+12
   327        4.61521        101.009        15.0326    3.37731e+06         27.764    1.14223e+12
   328        4.61592        101.081        15.0326    3.37731e+06        27.7531    1.12985e+12
   329        4.61663        101.153        15.0326    3.37731e+06        27.7422    1.11759e+12
   330        4.61735        101.225        15.0326    3.37731e+06        27.7313    1.10546e+12
   331        4.61806        101.297        15.0326    3.37731e+06        27.7204    1.09346e+12
   332        4.61877         101.37        15.0326    3.37731e+06        27.7095    1.08159e+12
   333        4.61949        101.442        15.0326    3.37731e+06        27.6985    1.06984e+12
   334         4.6202        101.514        15.0326    3.37731e+06        27.6876    1.05821e+12
   335        4.62091        101.587        15.0326    3.37731e+06        27.6767    1.04671e+12
   336        4.62163        101.659        15.0326    3.37731e+06        27.6657    1.03533e+12
   337        4.62234        101.732        15.0326    3.37731e+06        27.6548    1.02406e+12
   338        4.62305        101.804        15.0326    3.37731e+06        27.6439    1.01292e+12
   339        4.62376        101.877        15.0326    3.37731e+06        27.6329    1.00189e+12
   340        4.62448        101.949        15.0326    3.37731e+06         27.622    9.90981e+11
   341        4.62519        102.022        15.0326    3.37731e+06         27.611    9.80186e+11
   342         4.6259        102.095        15.0326    3.37731e+06        27.6001    9.69505e+11
   343        4.62662        102.168        15.0326    3.37731e+06        27.5891    9.58937e+11
   344        4.62733        102.241        15.0326    3.37731e+06        27.5781    9.48481e+11
   345        4.62804        102.314        15.0326    3.37731e+06        27.5672    9.38135e+11
   346        4.62876        102.387        15.0326    3.37731e+06        27.5562      9.279e+11
   347        4.62947         102.46        15.0326    3.37731e+06        27.5452    9.17773e+11
   348        4.63018        102.533        15.0326    3.37731e+06        27.5342    9.07754e+11
   349         4.6309        102.606        15.0326    3.37731e+06        27.5233    8.97841e+11
   350        4.63161        102.679        15.0326    3.37731e+06        27.5123    8.88033e+11
   351        4.63232        102.752        15.0326    3.37731e+06        27.5013     8.7833e+11
   352        4.63303        102.826        15.0326    3.37731e+06        27.4903     8.6873e+11
   353        4.63375        102.899        15.0326    3.37731e+06        27.4793    8.59233e+11
   354        4.63446        102.972        15.0326    3.37731e+06        27.4683    8.49837e+11
   355        4.63517        103.046        15.0326    3.37731e+06        27.4573    8.40541e+11
   356        4.63589        103.119        15.0326    3.37731e+06        27.4463    8.31344e+11
   357         4.6366        103.193        15.0326    3.37731e+06        27.4353    8.22246e+11
