    n:        logalt:       alt (km)         lognH:     nH (cm^-3)       lognCO2:   nCO2 (cm^-3)
   130        4.47473        87.7708         17.436    3.73549e+07        29.7763    8.54443e+12
   131        4.47544        87.8334         17.436    3.73549e+07         29.767    8.46526e+12
   132        4.47615         87.896         17.436    3.73549e+07        29.7577    8.38673e+12
   133        4.47687        87.9587         17.436    3.73549e+07        29.7483    8.30883e+12
   134        4.47758        88.0215         17.436    3.73549e+07         29.739    8.23157e+12
   135        4.47829        88.0843         17.436    3.73549e+07        29.7296    8.15494e+12
   136        4.47901        88.1471         17.436    3.73549e+07        29.7203    8.07894e+12
   137        4.47972          88.21         17.436    3.73549e+07        29.7109    8.00355e+12
   138        4.48043        88.2729         17.436    3.73549e+07        29.7015    7.92879e+12
   139        4.48115        88.3359         17.436    3.73549e+07        29.6921    7.85464e+12
   140        4.48186        88.3989         17.436    3.73549e+07        29.6827    7.78109e+12
   141        4.48257        88.4619         17.436    3.73549e+07        29.6733    7.70815e+12
   142        4.48329         88.525         17.436    3.73549e+07        29.6639    7.63582e+12
   143          4.484        88.5882         17.436    3.73549e+07        29.6544    7.56408e+12
   144        4.48471        88.6514         17.436    3.73549e+07         29.645    7.49293e+12
   145        4.48542        88.7146         17.436    3.73549e+07        29.6355    7.42238e+12
   146        4.48614        88.7779         17.436    3.73549e+07         29.626    7.35241e+12
   147        4.48685        88.8412         17.436    3.73549e+07        29.6166    7.28302e+12
   148        4.48756        88.9046         17.436    3.73549e+07        29.6071    7.21421e+12
   149        4.48828         88.968         17.436    3.73549e+07        29.5976    7.14597e+12
   150        4.48899        89.0315         17.436    3.73549e+07        29.5881     7.0783e+12
   151         4.4897         89.095         17.436    3.73549e+07        29.5785     7.0112e+12
   152        4.49042        89.1586         17.436    3.73549e+07         29.569    6.94467e+12
   153        4.49113        89.2222         17.436    3.73549e+07        29.5594    6.87869e+12
   154        4.49184        89.2858         17.436    3.73549e+07        29.5499    6.81327e+12
   155        4.49256        89.3495         17.436    3.73549e+07        29.5403    6.74839e+12
   156        4.49327        89.4132         17.436    3.73549e+07        29.5307    6.68407e+12
   157        4.49398         89.477         17.436    3.73549e+07        29.5212    6.62029e+12
   158        4.49469        89.5409         17.436    3.73549e+07        29.5116    6.55705e+12
   159        4.49541        89.6047         17.436    3.73549e+07         29.502    6.49434e+12
   160        4.49612        89.6686         17.436    3.73549e+07        29.4923    6.43217e+12
   161        4.49683        89.7326         17.436    3.73549e+07        29.4827    6.37053e+12
   162        4.49755        89.7966         17.436    3.73549e+07        29.4731    6.30941e+12
   163        4.49826        89.8607         17.436    3.73549e+07        29.4634    6.24882e+12
   164        4.49897        89.9248         17.436    3.73549e+07        29.4538    6.18874e+12
   165        4.49969        89.9889         17.436    3.73549e+07        29.4441    6.12918e+12
   166         4.5004        90.0531         17.436    3.73549e+07        29.4344    6.07013e+12
   167        4.50111        90.1174         17.436    3.73549e+07        29.4247    6.01158e+12
   168        4.50183        90.1816         17.436    3.73549e+07         29.415    5.95354e+12
   169        4.50254         90.246         17.436    3.73549e+07        29.4053      5.896e+12
   170        4.50325        90.3103         17.436    3.73549e+07        29.3956    5.83896e+12
   171        4.50397        90.3748         17.436    3.73549e+07        29.3858    5.78241e+12
   172        4.50468        90.4392         17.436    3.73549e+07        29.3761    5.72635e+12
   173        4.50539        90.5038         17.436    3.73549e+07        29.3663    5.67077e+12
   174         4.5061        90.5683         17.436    3.73549e+07        29.3566    5.61568e+12
   175        4.50682        90.6329         17.436    3.73549e+07        29.3468    5.56107e+12
   176        4.50753        90.6976         17.436    3.73549e+07         29.337    5.50693e+12
   177        4.50824        90.7623         17.436    3.73549e+07        29.3272    5.45327e+12
   178        4.50896         90.827         17.436    3.73549e+07        29.3174    5.40007e+12
   179        4.50967        90.8918         17.436    3.73549e+07        29.3076    5.34734e+12
   180        4.51038        90.9566         17.436    3.73549e+07        29.2978    5.29508e+12
   181         4.5111        91.0215         17.436    3.73549e+07         29.288    5.24327e+12
   182        4.51181        91.0865         17.436    3.73549e+07        29.2781    5.19192e+12
   183        4.51252        91.1514         17.436    3.73549e+07        29.2683    5.14102e+12
   184        4.51324        91.2165         17.436    3.73549e+07        29.2584    5.09057e+12
   185        4.51395        91.2815         17.436    3.73549e+07        29.2485    5.04057e+12
   186        4.51466        91.3466         17.436    3.73549e+07        29.2387      4.991e+12
   187        4.51537        91.4118         17.436    3.73549e+07        29.2288    4.94188e+12
   188        4.51609         91.477         17.436    3.73549e+07        29.2189    4.89319e+12
   189         4.5168        91.5423         17.436    3.73549e+07         29.209    4.84494e+12
   190        4.51751        91.6076         17.436    3.73549e+07         29.199    4.79712e+12
   191        4.51823        91.6729         17.436    3.73549e+07        29.1891    4.74972e+12
   192        4.51894        91.7383         17.436    3.73549e+07        29.1792    4.70274e+12
   193        4.51965        91.8037         17.436    3.73549e+07        29.1692    4.65619e+12
   194        4.52037        91.8692         17.436    3.73549e+07        29.1593    4.61005e+12
   195        4.52108        91.9348         17.436    3.73549e+07        29.1493    4.56433e+12
   196        4.52179        92.0004         17.436    3.73549e+07        29.1393    4.51902e+12
   197        4.52251         92.066         17.436    3.73549e+07        29.1293    4.47411e+12
   198        4.52322        92.1317         17.436    3.73549e+07        29.1193    4.42961e+12
   199        4.52393        92.1974         17.436    3.73549e+07        29.1093    4.38551e+12
